vin,km,images[0],images[1],images[2],user,specs.longType,specs.marca,specs.modelo,specs.version,specs.carroceria,specs.motor,specs.combustible,specs.cambio,specs.cilindros,specs.traccion,specs.potenciaKW,specs.potenciaCV,specs.parNm,specs.aceleracion,specs.velocidadMax,specs.neumaticoDelantero,specs.neumaticoTrasero,specs.emisionesCO2,specs.claseEmisiones,specs.colorEmisiones
WDD2050641R377990,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155121/vehicles/WDD2050641R377990/jfpvxpcnoje8cozwuc0y.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155123/vehicles/WDD2050641R377990/bk0fua63jxfzoh9ni10x.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155129/vehicles/WDD2050641R377990/kzesv3s5cwim1cn8kyk4.webp,68c2eb32e11f49198ad00368,Mercedes-AMG C 43 4MATIC Berlina,Mercedes-Benz,C,CZAA0504,Berlina,2996,Gasolina,automático,V6,4x4 (AWD),270,367,520,4.7,250,225/45 ZR18 Extra Load,245/40 ZR18 Extra Load,183,E,#FFBA7A
WDD2050041R270389,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155191/vehicles/WDD2050041R270389/w1c3eypet2haiu51o4pm.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155193/vehicles/WDD2050041R270389/hu8omu4o9hg8ampyhteg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155199/vehicles/WDD2050041R270389/mi3wusiu6frxlic0sktl.webp,68c2eb32e11f49198ad00368,C 220 d berlina,Mercedes-Benz,C,CZAA0572,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.5,235,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
WDC1569521J609074,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155237/vehicles/WDC1569521J609074/yxhpzcqvva1fwoinwve8.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155240/vehicles/WDC1569521J609074/v3cjw8ngmkwtw0etqnew.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155245/vehicles/WDC1569521J609074/hbd81ylleciwax7mbyvm.webp,68c2eb32e11f49198ad00368,Mercedes-AMG GLA 45 4MATIC Sport Utility Vehicle,Mercedes-Benz,GLA,DZAA150A,Todoterreno,1991,Gasolina,automático,4,4x4 (AWD),280,381,475,4.4,250,235/45 ZR19 99Y XL,235/45 ZR19 99Y XL,213,F,#FF886D
W1N2539531F897822,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155348/vehicles/W1N2539531F897822/cvomjp1orehcw6du7kqe.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155349/vehicles/W1N2539531F897822/dnzmx11o5nd3514fey9k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155354/vehicles/W1N2539531F897822/pili1t7z76fq0yu936ma.webp,68c2eb32e11f49198ad00368,GLC 300 e 4MATIC,Mercedes-Benz,GLC,CZAA050A,Todoterreno,1991,Hibrido,automático,4,4x4 (AWD),155,211,350,5.7,230,235/60 R18,235/60 R18,190,E,#FFBA7A
WDD2050041R085871,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155650/vehicles/WDD2050041R085871/tnovlmbqisxwawoxfecz.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155654/vehicles/WDD2050041R085871/fznlvnji5vz0kzskdq6q.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155656/vehicles/WDD2050041R085871/c6hiq34u6pgx54ofutfu.webp,68c2eb32e11f49198ad00368,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB573,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,113,A,#69E99B
WDD1770441N135618,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155826/vehicles/WDD1770441N135618/yuubiy01791ezpx1fd9k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155828/vehicles/WDD1770441N135618/txnx0lrgbc3gtyjsxh0y.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155829/vehicles/WDD1770441N135618/jfqmfsuplilvresqvghu.webp,68c2eb32e11f49198ad00368,A 220 Compacto,Mercedes-Benz,A,GZAA152A,Compacto,1991,Gasolina,automático,4,4x2 (FWD),140,190,300,6.9,240,205/55 R17,205/55 R17,161,D,#FFD54D
WDD2052081F420870,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759156152/vehicles/WDD2052081F420870/uq8sxcqhd2g86tylyhpc.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156155/vehicles/WDD2052081F420870/vebmic54oizdk9le6dbk.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156157/vehicles/WDD2052081F420870/zlaidfaojw8e8gbp1eli.webp,68c2eb32e11f49198ad00368,C 250 d Estate,Mercedes-Benz,C,NZAZ0521,Estate,2143,Diesel,automático,4,4x2 (RWD),150,204,500,6.9,241,205/60 R16 92W,205/60 R16 92W,117,A,#69E99B
WDD1770031N051406,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759156309/vehicles/WDD1770031N051406/zsnm4rhvikvbsfir0f7q.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156310/vehicles/WDD1770031N051406/wn8hzlo7gsqd2ih10iy1.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156312/vehicles/WDD1770031N051406/elhoswktofhotjbggers.webp,68c2eb32e11f49198ad00368,A 180 d Compacto,Mercedes-Benz,A,EZAA151B,Compacto,1461,Diesel,automático,4,4x2 (FWD),85,116,260,10.5,202,205/60 R16,205/60 R16,126,B,#94E890
WDD2050141R437722,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759156419/vehicles/WDD2050141R437722/sk9pkkfqspkxl887b4oj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156422/vehicles/WDD2050141R437722/g9eyo1hulq0medid8vo4.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156424/vehicles/WDD2050141R437722/ixfmmy5l5guiktnigwr0.webp,68c2eb32e11f49198ad00368,C 220 d Berlina,Mercedes-Benz,C,CZAA157A,Berlina,1950,Diesel,automático,4,4x2 (RWD),143,194,400,6.9,240,225/50 R17 94W,225/50 R17 94W,145,C,#D2E165
WDD2053451F368097,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759156569/vehicles/WDD2053451F368097/tox4wijh4ohdnpnsyzqg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156572/vehicles/WDD2053451F368097/wweqypuaipnmvuyzmt7o.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156574/vehicles/WDD2053451F368097/zdnj7t1j2azjrpskxbps.webp,68c2eb32e11f49198ad00368,C 250 Coupé,Mercedes-Benz,C,NZAA1412,Coupé,1991,Gasolina,automático,4,4x2 (RWD),155,211,350,6.8,250,225/50 R17,225/50 R17,133,B,#94E890
WDD1770871N082557,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759156771/vehicles/WDD1770871N082557/ssyt1h89kl9ff9rcto7y.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156773/vehicles/WDD1770871N082557/gnqzdflqtoxmg9xgvuj2.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759156776/vehicles/WDD1770871N082557/xsgwdf30y7cmnimkptdq.webp,68c2eb32e11f49198ad00368,A 200 Compacto,Mercedes-Benz,A,FZAA150B,Compacto,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.0,225,205/60 R16,205/60 R16,144,C,#D2E165
W1NKJ5BB9RF184892,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759157780/vehicles/W1NKJ5BB9RF184892/mtaznv9ixteepwzhbmye.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157781/vehicles/W1NKJ5BB9RF184892/xbxydhncxlzaj9xsjitg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157783/vehicles/W1NKJ5BB9RF184892/rfinwpj216rez94bgj12.webp,68c2eb32e11f49198ad00368,GLC 200 4MATIC Coupé,Mercedes-Benz,GLC,CZAA052A,Coupé,1999,Gasolina,automático,4,4x4 (AWD),150,204,320,7.9,227,235/60 R18,235/60 R18,167,E,#FFBA7A
WDD1179031N602711,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759157807/vehicles/WDD1179031N602711/xi7y81rcylhpydfpozak.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157809/vehicles/WDD1179031N602711/ydwudf8iqwcl2vnrwm3k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157811/vehicles/WDD1179031N602711/j9mppeuu54mszmosfaog.webp,68c2eb32e11f49198ad00368,CLA 220 d Shooting Brake,Mercedes-Benz,CLA,MZBA1502,Shooting Brake,2143,Diesel,automático,4,4x2 (FWD),130,177,350,7.8,228,225/45 R17,225/45 R17,108,A,#69E99B
WDD1186121N079061,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759157958/vehicles/WDD1186121N079061/wubvffaj8i1faow0pcre.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157961/vehicles/WDD1186121N079061/vrevazav0uy6deecegg9.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759157963/vehicles/WDD1186121N079061/pgqc0mypz6ezqndoaqsh.webp,68c2eb32e11f49198ad00368,CLA 200 d Shooting Brake,Mercedes-Benz,CLA,HZAA154A,Shooting Brake,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.4,221,205/60 R16,205/60 R16,134,B,#94E890
WDD1760521J273123,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759158145/vehicles/WDD1760521J273123/jbz9nuyyvesnf3rza2pw.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158147/vehicles/WDD1760521J273123/xnvah06kfsa0xrfkiyp9.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158149/vehicles/WDD1760521J273123/szxv8zsesqgmxgnvnoeh.webp,68c2eb32e11f49198ad00368,A 45 AMG 4MATIC,Mercedes-Benz,A,DZAAB504,Berlina,1991,Gasolina,automático,4,4x4 (AWD),265,360,450,4.6,250,235/40 R18 95 XL,235/40 R18 95 XL,161,D,#FFD54D
WDD2050041F025893,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759158392/vehicles/WDD2050041F025893/jmrpyqtr3zdyenzjm3yq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158394/vehicles/WDD2050041F025893/w5mkk4o5xdy49vd75l6t.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158396/vehicles/WDD2050041F025893/txc0w3vptuj4br3npxdf.webp,68c2eb32e11f49198ad00368,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB574,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,117,A,#69E99B
WDD1179081N538388,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759158592/vehicles/WDD1179081N538388/sebvoayvytlpwmbb6tnf.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158593/vehicles/WDD1179081N538388/lwx6rdabquemnzhfaewb.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158595/vehicles/WDD1179081N538388/r4xjpfj7ewurvgfht9ic.webp,68c2eb32e11f49198ad00368,CLA 200 d Shooting Brake,Mercedes-Benz,CLA,MZBA1502,Shooting Brake,2143,Diesel,automático,4,4x2 (FWD),100,136,300,9.2,215,205/55 R16 91V,205/55 R16 91V,106,A,#69E99B
W1K1183121N176682,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759158913/vehicles/W1K1183121N176682/tjdkp0k0fdkljwrzt19r.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158916/vehicles/W1K1183121N176682/hx2nngnuxdvwc7s9fov8.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759158917/vehicles/W1K1183121N176682/wfwzprkbrqbbkxo5xvhr.webp,68c2eb32e11f49198ad00368,CLA 200 d Coupé,Mercedes-Benz,CLA,HZAA154A,Coupé,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.3,226,205/60 R16,205/60 R16,133,B,#94E890
WDD1770871N028293,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759159065/vehicles/WDD1770871N028293/ez0wtr7hvx7ln3jkzb6c.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159067/vehicles/WDD1770871N028293/dfhqneoe7oedjzunsrjh.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159068/vehicles/WDD1770871N028293/q7fvgr0whwhsvrxj99mc.webp,68c2eb32e11f49198ad00368,A 200 Compacto,Mercedes-Benz,A,FZAZ150B,Compacto,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.0,225,N/A,N/A,143,C,#D2E165
WDD2050071R220653,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759159269/vehicles/WDD2050071R220653/ujemrdkl1rnboenr7xtv.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159271/vehicles/WDD2050071R220653/hd4mihp5nauifaq2cqu5.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159273/vehicles/WDD2050071R220653/ckpfiljrhmd6iehrvax2.webp,68c2eb32e11f49198ad00368,C 200 d berlina,Mercedes-Benz,C,NZAA0522,Berlina,2143,Diesel,automático,4,4x2 (RWD),100,136,350,10.2,214,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
W1K2573141A092512,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759159802/vehicles/W1K2573141A092512/uyyf1dyun6vgd9wkjl7k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159803/vehicles/W1K2573141A092512/uopkssmnrq0ysx5aleug.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159804/vehicles/W1K2573141A092512/rh8poyz3lqaqx7lnckg2.webp,68c2eb32e11f49198ad00368,CLS 220 d,Mercedes-Benz,CLS,CZAA151A,Coupé,1950,Diesel,automático,4,4x2 (RWD),143,194,400,7.5,237,245/45 R18,275/40 R18,147,C,#D2E165
WDC2923751A103364,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759159903/vehicles/WDC2923751A103364/jgnw6rq0lfjekgldzrrk.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159905/vehicles/WDC2923751A103364/b0wi6ky3cgbr5aoghpwz.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759159907/vehicles/WDC2923751A103364/n8qtl42i1a71brqxmupq.webp,68c2eb32e11f49198ad00368,Mercedes-AMG GLE 63 S 4MATIC Coupé,Mercedes-Benz,GLE,RZAAA504,Coupé,5461,Gasolina,automático,V8,4x4 (AWD),430,585,760,4.2,250,285/40 ZR22 106Y,325/35 ZR22 110Y,278,G,#FF5F5F
W1K2938901F012825,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759160282/vehicles/W1K2938901F012825/augdb2hxnjt1uvq5lrs3.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160284/vehicles/W1K2938901F012825/duz2trx6jxogoaul2cih.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160286/vehicles/W1K2938901F012825/fc59zdtngocqfz6ntvf2.webp,68c2eb32e11f49198ad00368,EQC 400 4MATIC,Mercedes-Benz,EQC,ZZAC050A,Todoterreno,N/A,Electrico,automático,N/A,4x4 (AWD),300,408,0,5.1,180,235/55 R19 101V,255/50 R19 103V,0,A,#69E99B
W1K4F1CB1RJ583999,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759160488/vehicles/W1K4F1CB1RJ583999/nyrx1ntc4gxdxz4r9edv.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160489/vehicles/W1K4F1CB1RJ583999/kbpc3den5svhkij3l0aj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160490/vehicles/W1K4F1CB1RJ583999/v7z5unccufemdmksqupq.webp,68c2eb32e11f49198ad00368,B 200 d,Mercedes-Benz,B,HZAA150B,Sports Tourer,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.5,219,205/60 R16,205/60 R16,137,B,#94E890
W1K2906611A046941,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759160733/vehicles/W1K2906611A046941/q1nmj3pkeecd5rtfjyqx.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160734/vehicles/W1K2906611A046941/txz1g8g1vf3xnvujs9ih.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160735/vehicles/W1K2906611A046941/foznsxda2dvd8hit3hmh.webp,68c2eb32e11f49198ad00368,Mercedes-AMG GT 53 4MATIC+,Mercedes-Benz,GT,CZAA05LA,Cupé de 4 puertas,2999,Gasolina,automático,6,4x4 (AWD),320,435,520,4.5,285,255/45 ZR19 104Y XL,285/40 ZR19 107Y XL,222,F,#FF886D
W1N1671591A275580,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759160890/vehicles/W1N1671591A275580/vftzku3qp3xwufenwwfj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160891/vehicles/W1N1671591A275580/evncom6uhce5ezguumfn.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759160893/vehicles/W1N1671591A275580/qlczroitvjyce85xc96j.webp,68c2eb32e11f49198ad00368,GLE 450 4MATIC,Mercedes-Benz,GLE,CZAAD57A,Todoterreno,2999,Gasolina,automático,6,4x4 (AWD),270,367,500,5.7,250,255/50 R19,255/50 R19,216,F,#FF886D
WDD1186871N030148,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759161527/vehicles/WDD1186871N030148/mozo6lhddtm1dfpnd0mg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759161529/vehicles/WDD1186871N030148/u8z7a7pl1w9kytcndekc.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759161531/vehicles/WDD1186871N030148/yud8ebnn8uud1bwzxlwy.webp,68c2eb32e11f49198ad00368,CLA 200 Shooting Brake,Mercedes-Benz,CLA,FZAA154A,Shooting Brake,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.4,226,205/60 R16,205/60 R16,145,C,#D2E165
W1K1183871N085107,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759161684/vehicles/W1K1183871N085107/x7xy9sxngoesosdgekb2.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759161686/vehicles/W1K1183871N085107/xsrpct3ot2gjg2g9wpsp.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759161688/vehicles/W1K1183871N085107/q9tszkrqkoqancxfv1tc.webp,68c2eb32e11f49198ad00368,CLA 200 Coupé,Mercedes-Benz,CLA,FZAA154A,Coupé,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.2,229,205/60 R16,205/60 R16,148,C,#D2E165
W1N4M1DB5PW335925,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759162275/vehicles/W1N4M1DB5PW335925/pucioqnzdenuhm8iuub4.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162277/vehicles/W1N4M1DB5PW335925/hgrp5fpz1hvewllvv9kq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162279/vehicles/W1N4M1DB5PW335925/jwmzhhqezxxmqorbhsfx.webp,68c2eb32e11f49198ad00368,GLB 200 d 4MATIC,Mercedes-Benz,GLB,JZAA170A,Todoterreno,1950,Diesel,automático,4,4x4 (AWD),110,150,320,9.3,201,215/65 R17,215/65 R17,155,C,#D2E165
W1K1186861N201366,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759162459/vehicles/W1K1186861N201366/esop1g5dt1h23lnfhabc.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162461/vehicles/W1K1186861N201366/ujbm65eyvruspxjyzcr3.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162463/vehicles/W1K1186861N201366/lho0wz9iurbhee7hr6ze.webp,68c2eb32e11f49198ad00368,CLA 250 e Shooting Brake,Mercedes-Benz,CLA,HZAA050A,Shooting Brake,1332,Hibrido,automático,4,4x2 (FWD),118,160,230,6.9,235,205/55 R17,205/55 R17,155,C,#D2E165
W1K1770121N193226,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759162572/vehicles/W1K1770121N193226/ybzv9m9jkivry1xpuqqw.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162574/vehicles/W1K1770121N193226/dk6y3l6q5myryrx0ltop.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759162576/vehicles/W1K1770121N193226/pfxu3vhcdovnnro2ohrf.webp,68c2eb32e11f49198ad00368,A 200 d Compacto,Mercedes-Benz,A,HZAA152C,Compacto,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.1,220,205/60 R16,205/60 R16,131,B,#94E890
